ID,Species,Taxid,RefID
SRR15115264.10009969,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10012938,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10035085,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10038063,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.1004052,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10049330,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10058961,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.1006376,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10080083,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10082345,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10084274,Staphylococcus_aureus,1280,NZ_CP042157.1
SRR15115264.10085221,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10095104,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.1009956,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.1012013,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10120884,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10129286,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10129297,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10134672,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10147904,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.1015066,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10166521,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10174285,Cutibacterium_acnes,1747,NZ_CP012352.1
SRR15115264.10174285,Cutibacterium_acnes,1747,NZ_CP012352.1
SRR15115264.10174285,Cutibacterium_acnes,1747,NZ_CP012352.1
SRR15115264.10174285,Cutibacterium_acnes,1747,NZ_CP012352.1
SRR15115264.1017743,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10177836,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10188668,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.1019016,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10199418,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10207851,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10213014,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10214263,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10214963,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10215109,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10223057,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10226480,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10228095,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10233653,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10233965,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10243419,Cutibacterium_acnes,1747,NZ_AP022844.1
SRR15115264.10243419,Cutibacterium_acnes,1747,NZ_AP022844.1
SRR15115264.10243419,Cutibacterium_acnes,1747,NZ_AP022844.1
SRR15115264.10243419,Cutibacterium_acnes,1747,NZ_AP022844.1
SRR15115264.1024486,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10247878,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.1025163,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10252321,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.1025827,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10262071,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.1026973,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10279904,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10280999,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10288424,Cutibacterium_acnes,1747,NZ_AP019664.1
SRR15115264.10288424,Cutibacterium_acnes,1747,NZ_AP019664.1
SRR15115264.10288424,Cutibacterium_acnes,1747,NZ_AP019664.1
SRR15115264.10288424,Cutibacterium_acnes,1747,NZ_AP019664.1
SRR15115264.10289227,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10293179,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10295382,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10299498,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10304589,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10307166,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10309853,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.1031611,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10322232,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10322527,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10325322,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.1033012,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10332522,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10340837,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10343935,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10351974,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10352889,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.1035492,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10362085,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10363392,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10367678,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10373261,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10376335,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10377786,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10384120,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10387178,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10387906,Cutibacterium_acnes,1747,NZ_CP031442.1
SRR15115264.10387906,Cutibacterium_acnes,1747,NZ_CP031442.1
SRR15115264.10387906,Cutibacterium_acnes,1747,NZ_CP031442.1
SRR15115264.10387906,Cutibacterium_acnes,1747,NZ_CP031442.1
SRR15115264.10388946,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10398712,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.1039881,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10400580,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10403019,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10410760,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10411159,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10414519,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10419351,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10419925,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10430148,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10434465,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10435767,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10436195,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10438772,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10440930,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10441660,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10443318,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10451065,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10455699,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.1045614,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10458136,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10462434,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10462843,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10463918,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10469861,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10471100,Cutibacterium_acnes,1747,NZ_CP023676.1
SRR15115264.10471100,Cutibacterium_acnes,1747,NZ_CP023676.1
SRR15115264.10472983,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10474595,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10481092,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10481308,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10486176,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10487407,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10488550,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10499883,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10501659,Cutibacterium_acnes,1747,NZ_CP012353.1
SRR15115264.10501659,Cutibacterium_acnes,1747,NZ_CP012353.1
SRR15115264.10501659,Cutibacterium_acnes,1747,NZ_CP012353.1
SRR15115264.10501659,Cutibacterium_acnes,1747,NZ_CP012353.1
SRR15115264.10502916,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10507211,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10511199,Staphylococcus_haemolyticus,1283,NZ_CP025031.1
SRR15115264.10511199,Staphylococcus_haemolyticus,1283,NZ_CP025031.1
SRR15115264.10511414,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10519359,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10522128,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10524316,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10530691,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10535836,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10537970,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10540880,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10546838,Brevundimonas_naejangsanensis,588932,NZ_CP038027.1
SRR15115264.10546838,Brevundimonas_naejangsanensis,588932,NZ_CP038027.1
SRR15115264.10546838,Brevundimonas_naejangsanensis,588932,NZ_CP038027.1
SRR15115264.10546838,Brevundimonas_naejangsanensis,588932,NZ_CP038027.1
SRR15115264.10547007,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10550183,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10553724,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10558395,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10562565,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10565336,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10568052,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10570236,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10571126,Cutibacterium_acnes,1747,NZ_AP022844.1
SRR15115264.10571126,Cutibacterium_acnes,1747,NZ_AP022844.1
SRR15115264.10571126,Cutibacterium_acnes,1747,NZ_AP022844.1
SRR15115264.10571126,Cutibacterium_acnes,1747,NZ_AP022844.1
SRR15115264.10575098,Cutibacterium_acnes,1747,NZ_CP031442.1
SRR15115264.10575098,Cutibacterium_acnes,1747,NZ_CP031442.1
SRR15115264.10579248,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10579471,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10581197,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10586938,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10589873,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10602749,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10604715,Acinetobacter_johnsonii,40214,NZ_CP043307.1
SRR15115264.10604715,Acinetobacter_johnsonii,40214,NZ_CP043307.1
SRR15115264.10604715,Acinetobacter_johnsonii,40214,NZ_CP043307.1
SRR15115264.10604715,Acinetobacter_johnsonii,40214,NZ_CP043307.1
SRR15115264.106057,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10611937,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10615464,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10617717,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10618230,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.1062503,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10630977,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10631572,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10634028,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10635943,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10638541,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10638776,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.1063881,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10639615,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10639678,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10646934,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10648268,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10651076,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10652339,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10652716,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10657360,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10662983,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10666100,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10666687,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10671596,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10672497,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10686865,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10689752,Klebsiella_pneumoniae,573,NZ_LR607360.1
SRR15115264.10692893,Pseudomonas_tolaasii,29442,NZ_CP020369.1
SRR15115264.10694362,Klebsiella_pneumoniae,573,NZ_LR607360.1
