V2	V3	Species	taxid
SRR15115267.5239956	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.220734	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.5146117	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.12817343	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.1629629	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.3065150	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.13284127	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.13433161	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.13839266	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.6779894	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.7727459	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.11483110	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.16754756	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.6313413	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.7468033	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.17620981	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.3553781	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.14009669	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.1450935	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.4665594	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.3588775	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.11598821	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.12560065	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.1333104	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.10183214	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.1699281	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.4081199	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.4103977	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.5874246	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.8193562	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.8974164	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.11293783	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.10266047	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.16882162	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.19910632	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.8412585	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.1186266	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.1784978	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.2687464	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.3554677	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.3901151	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.3901214	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.5749776	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.6571440	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.6571660	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.9285878	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.9371952	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.11659502	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.13096106	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.15070587	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.19223608	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.3546219	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.5914636	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.17483705	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.17483950	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.18051078	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.18882259	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.14539820	Thalassotalea sp. PS06 (taxid 2594005)	Thalassotalea sp. PS06	2594005
SRR15115267.8632740	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.9286832	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.11801052	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.7882345	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.15346377	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.14020431	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.6132342	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.17660710	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.17327611	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.4458499	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.9115295	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.13756862	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.3302141	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.3303167	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.17301483	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
