SRR15115262.10017186	NZ_CP012354.1
SRR15115262.10028036	NZ_CP020369.1
SRR15115262.10031444	NZ_CP044548.2
SRR15115262.10063413	NZ_CP044548.2
SRR15115262.10107545	NZ_CP037424.1
SRR15115262.10107545	NZ_CP037424.1
SRR15115262.10128105	NZ_CP020369.1
SRR15115262.10150803	NZ_CP022298.1
SRR15115262.10150803	NZ_CP022298.1
SRR15115262.10163139	NZ_CP040257.1
SRR15115262.10163139	NZ_CP040257.1
SRR15115262.10171583	NZ_CP037424.1
SRR15115262.10171583	NZ_CP037424.1
SRR15115262.10198077	NZ_CP022298.1
SRR15115262.10198077	NZ_CP022298.1
SRR15115262.10208954	NZ_CP043541.1
SRR15115262.10208954	NZ_CP043541.1
SRR15115262.10225346	NZ_CP045291.1
SRR15115262.10225346	NZ_CP045291.1
SRR15115262.10239101	NZ_CP022298.1
SRR15115262.1024234	NZ_CP037424.1
SRR15115262.1024234	NZ_CP037424.1
SRR15115262.10245817	NZ_CP023705.1
SRR15115262.10245817	NZ_CP023705.1
SRR15115262.10258909	NZ_CP007437.1
SRR15115262.10258909	NZ_CP007437.1
SRR15115262.10275740	NZ_CP028138.1
SRR15115262.10338593	NZ_CP044548.2
SRR15115262.10338593	NZ_CP044548.2
SRR15115262.10353123	NZ_CP044548.2
SRR15115262.10353123	NZ_CP044548.2
SRR15115262.10357021	NZ_CP044548.2
SRR15115262.10366842	NZ_CP023705.1
SRR15115262.10366842	NZ_CP023705.1
SRR15115262.10391325	NZ_CP015364.1
SRR15115262.10431072	NZ_CP044548.2
SRR15115262.10431072	NZ_CP044548.2
SRR15115262.1044875	NZ_CP050525.1
SRR15115262.10455254	NZ_CP022745.1
SRR15115262.10455254	NZ_CP022745.1
SRR15115262.10523402	NZ_CP018874.1
SRR15115262.10523402	NZ_CP018874.1
SRR15115262.10558823	NZ_CP037424.1
SRR15115262.10558823	NZ_CP037424.1
SRR15115262.10578459	NZ_CP022298.1
SRR15115262.10578459	NZ_CP022298.1
SRR15115262.10581911	NZ_CP024185.2
SRR15115262.10581911	NZ_CP024185.2
SRR15115262.10596738	NZ_CP044548.2
SRR15115262.10596738	NZ_CP044548.2
SRR15115262.10612473	NZ_CP022745.1
SRR15115262.10612473	NZ_CP022745.1
SRR15115262.10643302	NZ_CP037424.1
SRR15115262.10643302	NZ_CP037424.1
SRR15115262.10657259	NZ_CP031011.1
SRR15115262.10657259	NZ_CP031011.1
SRR15115262.10662806	NZ_CP044548.2
SRR15115262.10672922	NZ_CP051128.1
SRR15115262.10672922	NZ_CP051128.1
SRR15115262.10679697	NZ_CP045291.1
SRR15115262.10679697	NZ_CP045291.1
SRR15115262.10679814	NZ_CP017420.1
SRR15115262.10682896	NZ_CP037424.1
SRR15115262.10682896	NZ_CP037424.1
SRR15115262.10683738	NZ_CP031011.1
SRR15115262.10683738	NZ_CP031011.1
SRR15115262.10689835	NZ_LR607360.1
SRR15115262.10745893	NC_009485.1
SRR15115262.10746312	NC_009485.1
SRR15115262.10776668	NZ_CP020369.1
SRR15115262.10802924	NZ_CP017640.1
SRR15115262.10802924	NZ_CP017640.1
SRR15115262.10814203	NZ_CP022298.1
SRR15115262.10814203	NZ_CP022298.1
SRR15115262.10849223	NZ_CP020369.1
SRR15115262.1086292	NZ_CP037424.1
SRR15115262.1086292	NZ_CP037424.1
SRR15115262.1086385	NZ_CP037424.1
SRR15115262.1086385	NZ_CP037424.1
SRR15115262.10885020	NZ_CP044548.2
SRR15115262.10885020	NZ_CP044548.2
SRR15115262.10890474	NZ_CP017420.1
SRR15115262.10890474	NZ_CP017420.1
SRR15115262.10945989	NZ_CP022298.1
SRR15115262.10945989	NZ_CP022298.1
SRR15115262.10976324	NZ_CP022298.1
SRR15115262.11012005	NZ_CP020369.1
SRR15115262.11060428	NZ_CP031011.1
SRR15115262.11060428	NZ_CP031011.1
SRR15115262.11060476	NZ_CP020574.1
SRR15115262.1107557	NZ_CP022298.1
SRR15115262.1107557	NZ_CP022298.1
SRR15115262.1108685	NZ_CP022298.1
SRR15115262.11102684	NZ_LR607360.1
SRR15115262.1111203	NZ_CP033842.1
SRR15115262.1111203	NZ_CP033842.1
SRR15115262.11136641	NZ_CP044548.2
SRR15115262.11136641	NZ_CP044548.2
SRR15115262.11138285	NZ_CP054593.1
SRR15115262.11154231	NZ_CP027778.1
SRR15115262.11212553	NZ_CP013924.1
SRR15115262.11213232	NZ_CP022298.1
SRR15115262.11213232	NZ_CP022298.1
SRR15115262.11224472	NZ_CP050529.1
SRR15115262.1123234	NZ_CP054803.1
SRR15115262.1123234	NZ_CP054803.1
SRR15115262.11260234	NZ_CP023537.1
SRR15115262.11260234	NZ_CP023537.1
SRR15115262.11301808	NZ_CP020369.1
SRR15115262.11303126	NZ_CP050529.1
SRR15115262.11345639	NZ_CP037424.1
SRR15115262.11345639	NZ_CP037424.1
SRR15115262.1134733	NZ_CP037424.1
SRR15115262.1134733	NZ_CP037424.1
SRR15115262.11358705	NZ_CP020369.1
SRR15115262.11371587	NZ_CP013693.1
SRR15115262.11371587	NZ_CP013693.1
SRR15115262.11460699	NZ_CP020369.1
SRR15115262.11482021	NZ_CP050529.1
SRR15115262.11500109	NZ_CP024185.2
SRR15115262.11505637	NZ_CP044548.2
SRR15115262.11505637	NZ_CP044548.2
SRR15115262.11526091	NZ_CP037424.1
SRR15115262.11526091	NZ_CP037424.1
SRR15115262.11553844	NZ_CP022298.1
SRR15115262.11553844	NZ_CP022298.1
SRR15115262.11558743	NZ_CP054840.1
SRR15115262.11558743	NZ_CP054840.1
SRR15115262.1156631	NZ_CP037424.1
SRR15115262.1156631	NZ_CP037424.1
SRR15115262.11573253	NZ_CP022298.1
SRR15115262.11610981	NZ_CP020369.1
SRR15115262.11645098	NZ_CP044548.2
SRR15115262.11645098	NZ_CP054690.1
SRR15115262.11660502	NZ_CP054593.1
SRR15115262.11660502	NZ_CP044548.2
SRR15115262.11660532	NZ_CP054593.1
SRR15115262.11660532	NZ_CP054593.1
SRR15115262.11732798	NZ_CP047226.1
SRR15115262.11732798	NZ_CP047226.1
SRR15115262.11745689	NZ_CP020369.1
SRR15115262.11775610	NZ_CP023705.1
SRR15115262.11775610	NZ_CP023705.1
SRR15115262.11776758	NZ_CP023705.1
SRR15115262.11793013	NZ_CP043849.1
SRR15115262.11827758	NZ_CP022298.1
SRR15115262.11829664	NZ_CP031011.1
SRR15115262.11839298	NZ_CP027562.1
SRR15115262.1186983	NZ_CP044548.2
SRR15115262.1186983	NZ_CP044548.2
SRR15115262.11881797	NZ_CP037424.1
SRR15115262.11881797	NZ_CP037424.1
SRR15115262.11885991	NZ_CP022298.1
SRR15115262.11885991	NZ_CP022298.1
SRR15115262.11887826	NZ_LR607360.1
SRR15115262.11909397	NZ_CP037424.1
SRR15115262.11909397	NZ_CP037424.1
SRR15115262.11949276	NZ_CP007437.1
SRR15115262.11949276	NZ_CP044548.2
SRR15115262.12026854	NZ_CP019143.1
SRR15115262.12026854	NZ_CP019143.1
SRR15115262.12029558	NZ_CP014014.1
SRR15115262.12029558	NZ_CP014014.1
SRR15115262.12106677	NZ_CP022745.1
SRR15115262.12106677	NZ_CP022745.1
SRR15115262.1211511	NZ_CP020369.1
SRR15115262.12181616	NZ_CP045291.1
SRR15115262.12181616	NZ_CP045291.1
SRR15115262.12215655	NZ_CP047226.1
SRR15115262.12215655	NZ_CP047226.1
SRR15115262.12232621	NZ_CP022298.1
SRR15115262.12232621	NZ_CP022298.1
SRR15115262.1223386	NZ_CP020369.1
SRR15115262.12235754	NZ_CP030053.1
SRR15115262.12235754	NZ_CP030053.1
SRR15115262.12280913	NZ_CP007437.1
SRR15115262.12280913	NZ_CP007437.1
SRR15115262.12306711	NC_009485.1
SRR15115262.12306711	NC_009485.1
SRR15115262.12313570	NZ_CP022560.1
SRR15115262.12313570	NZ_CP022560.1
SRR15115262.12317403	NZ_CP020586.1
SRR15115262.12323342	NZ_CP029210.1
SRR15115262.12335747	NZ_CP016448.1
SRR15115262.12335747	NZ_CP016448.1
SRR15115262.12368039	NZ_CP023705.1
SRR15115262.12368039	NZ_CP023705.1
SRR15115262.12378361	NZ_CP022298.1
SRR15115262.12378521	NZ_CP022298.1
SRR15115262.12379759	NZ_CP044548.2
SRR15115262.12380153	NZ_CP037424.1
SRR15115262.12380153	NZ_CP037424.1
SRR15115262.12383916	NZ_CP016448.1
SRR15115262.12396638	NZ_CP020369.1
SRR15115262.12404242	NZ_CP044548.2
SRR15115262.12404242	NZ_CP044548.2
SRR15115262.12405209	NZ_CP017640.1
SRR15115262.12405209	NZ_CP017640.1
SRR15115262.12486314	NZ_CP011514.1
SRR15115262.12486314	NZ_CP011514.1
SRR15115262.12494635	NZ_CP023705.1
SRR15115262.12494635	NZ_CP023705.1
SRR15115262.12497818	NZ_CP015220.1
SRR15115262.12497818	NZ_CP015220.1
SRR15115262.12499731	NZ_CP050529.1
SRR15115262.12522383	NZ_CP022298.1
SRR15115262.12522383	NZ_CP022298.1
SRR15115262.12536263	NZ_CP022298.1
SRR15115262.12536263	NZ_CP022298.1
SRR15115262.12565402	NZ_CP007437.1
SRR15115262.12566421	NZ_CP029210.1
SRR15115262.12566421	NZ_CP029210.1
SRR15115262.1257671	NZ_CP022298.1
SRR15115262.1257671	NZ_CP022298.1
SRR15115262.1258688	NZ_CP044548.2
SRR15115262.1258688	NZ_CP044548.2
SRR15115262.12589086	NC_009485.1
SRR15115262.12589086	NC_009485.1
SRR15115262.12594919	NZ_CP031011.1
SRR15115262.12594919	NZ_CP031011.1
SRR15115262.12599571	NZ_CP033953.1
SRR15115262.12599571	NZ_CP033953.1
SRR15115262.12618747	NZ_CP043920.1
SRR15115262.12618747	NZ_CP043920.1
SRR15115262.12644571	NZ_CP044548.2
SRR15115262.12644571	NZ_CP044548.2
SRR15115262.12690284	NZ_CP037424.1
SRR15115262.12697199	NZ_CP012647.1
SRR15115262.12697199	NZ_CP012647.1
SRR15115262.127017	NZ_CP011514.1
SRR15115262.12705904	NZ_CP044548.2
SRR15115262.12705904	NZ_CP044548.2
SRR15115262.1271474	NZ_CP016022.1
SRR15115262.12756335	NZ_CP031011.1
SRR15115262.1278381	NZ_CP031011.1
SRR15115262.1278381	NZ_CP031011.1
SRR15115262.1279131	NZ_CP044548.2
SRR15115262.1279131	NZ_CP054593.1
SRR15115262.12793524	NZ_CP024185.2
SRR15115262.12873922	NZ_CP032147.1
SRR15115262.12906854	NZ_CP037424.1
SRR15115262.12906854	NZ_CP037424.1
SRR15115262.12914873	NZ_CP022298.1
SRR15115262.12914873	NZ_CP022298.1
SRR15115262.12929956	NZ_CP043307.1
SRR15115262.12930109	NZ_CP044548.2
SRR15115262.12930109	NZ_CP044548.2
SRR15115262.12933004	NZ_CP023705.1
SRR15115262.12933004	NZ_CP023705.1
SRR15115262.12939894	NZ_CP012952.1
SRR15115262.12959732	NZ_CP037424.1
SRR15115262.12959732	NZ_CP037424.1
SRR15115262.12968777	NZ_CP037424.1
SRR15115262.12968777	NZ_CP037424.1
SRR15115262.12990789	NZ_CP044548.2
SRR15115262.12990789	NZ_CP044548.2
SRR15115262.13002911	NZ_CP031011.1
SRR15115262.13010796	NZ_CP022298.1
SRR15115262.13010796	NZ_CP022298.1
SRR15115262.13055481	NZ_CP020369.1
SRR15115262.13060008	NZ_LR607360.1
SRR15115262.13089161	NZ_CP024180.2
SRR15115262.13089161	NZ_CP024180.2
SRR15115262.1312537	NZ_CP037424.1
SRR15115262.1312537	NZ_CP039520.1
SRR15115262.13142788	NZ_CP035736.1
SRR15115262.13142788	NZ_CP035736.1
SRR15115262.13146437	NZ_CP044548.2
SRR15115262.1316401	NZ_CP023705.1
SRR15115262.13164214	NZ_CP037424.1
SRR15115262.13164214	NZ_CP037424.1
SRR15115262.1322402	NZ_CP037424.1
SRR15115262.1322402	NZ_CP037424.1
SRR15115262.13247843	NZ_CP037424.1
SRR15115262.13272407	NZ_CP040019.1
SRR15115262.13285874	NZ_CP027778.1
SRR15115262.13348971	NZ_CP044548.2
SRR15115262.13348971	NZ_CP044548.2
SRR15115262.13377705	NZ_CP044548.2
SRR15115262.13377732	NZ_CP027778.1
SRR15115262.13377732	NZ_CP027778.1
SRR15115262.13446029	NZ_CP054822.1
SRR15115262.13457365	NZ_CP044548.2
SRR15115262.13457365	NZ_CP044548.2
SRR15115262.13483209	NZ_CP043842.1
SRR15115262.13483209	NZ_CP043842.1
